Species,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Plumbeous Vireo,0,14,11,7,18,17,22,10,11,18,27,21,23,11,4,6,2,20,27,27,34,21,31,38,73,57,79,73,135,130,156,177,138,201,174,173,128,128,125,184,193,205,178,145,113,158,171,200
Prairie Falcon,0,0,0,0,0,2,2,3,0,0,1,2,2,5,1,2,1,0,1,2,1,3,5,3,6,3,4,4,6,8,11,14,12,9,11,19,2,7,13,9,8,8,15,14,10,6,11,12
Purple Martin,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,3,3,3,12,14,28,26,13,15,19,15,23,26,30,21,8,33,49,57,45,43,32,38
Pygmy Nuthatch,0,12,15,10,15,4,12,10,2,9,7,0,7,1,1,2,3,8,2,1,11,3,14,29,29,42,38,45,26,16,33,43,77,31,43,33,46,70,85,110,58,49,47,61,88,45,54,85
Red Crossbill,0,14,5,5,5,0,6,4,1,3,0,1,6,1,3,0,22,1,0,30,20,51,37,188,94,86,37,88,148,132,154,122,106,31,59,67,274,69,312,286,201,187,200,105,171,233,165,174
Red-breasted Nuthatch,1,0,2,1,3,1,0,0,0,0,1,1,0,1,2,0,2,4,0,2,2,4,14,15,40,54,68,43,60,39,45,44,54,70,46,70,106,55,88,75,52,33,58,27,66,64,50,44
Red-eyed Vireo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
Red-headed Woodpecker,0,2,0,1,0,1,2,8,1,2,5,2,2,3,5,4,1,0,2,1,2,4,6,2,5,8,1,0,4,7,7,5,5,4,8,5,3,3,8,13,6,9,7,9,2,6,6,7
Red-naped Sapsucker,0,3,2,4,1,2,16,3,5,14,9,8,7,4,7,5,5,7,19,5,26,8,25,5,39,29,34,33,28,34,46,57,47,74,64,78,101,95,104,61,60,61,74,60,72,74,78,60
Red-necked Grebe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Red-tailed Hawk,5,2,6,12,4,11,5,8,10,3,10,11,11,31,28,30,21,23,28,21,19,36,39,44,76,96,117,98,132,106,136,146,158,136,125,147,110,151,192,202,155,189,185,169,138,151,178,209
Red-winged Blackbird,278,391,487,809,884,1026,1279,1392,1151,1056,1057,1028,1257,1034,1282,889,710,576,930,1122,2327,1693,1174,2194,2724,3146,3896,2791,3313,3439,4257,4376,4107,3210,3394,3649,2732,3608,3085,3882,2935,3259,3718,2994,2784,2608,2566,2749
Redhead,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,4,104,0,3,20,18,17,7,15,3,33,28,15,17,25,3,19,64,39,13,76,19,15,12,11,8,1,6,8
Redhead,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Ring-billed Gull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ring-billed Gull,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,38,8,11,7,3,7,13,31,39,14,27,1,9,1,4,17,0,16,8,16,17,6,0,13,6,2
Ring-necked Duck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,2,0,0,1,0,6,2,8,31,43,19,49,12,23,7,32,12,24,7,3,29,25,6,6,18,18,12
Ring-necked Pheasant,200,259,268,246,295,414,348,270,81,195,255,365,286,488,383,579,387,325,251,132,347,335,189,311,489,578,365,284,337,424,390,360,384,408,385,417,448,432,474,479,512,497,473,519,544,335,236,221
Rock Pigeon,25,24,44,73,24,38,69,46,36,17,38,56,47,70,67,37,50,64,41,25,261,298,251,253,196,271,355,246,201,321,277,614,425,302,226,336,380,290,311,372,182,240,212,145,221,213,208,155
Rock Wren,4,4,7,8,17,22,34,36,33,17,18,18,35,31,47,21,32,41,31,19,54,53,54,66,80,124,120,218,155,123,197,176,170,137,172,142,216,124,196,146,207,194,134,156,99,115,170,218
Rose-breasted Grosbeak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ruby-crowned Kinglet,6,11,5,9,11,13,30,23,26,24,42,35,26,24,57,18,17,15,39,15,207,151,146,116,262,380,643,457,674,633,454,616,617,695,903,846,930,791,793,716,705,713,817,861,785,875,815,907
Ruddy Duck,0,0,0,0,0,0,4,5,0,2,0,0,1,0,0,0,5,0,1,4,3,6,2,10,7,7,8,9,5,16,30,22,29,9,35,9,13,27,28,70,31,33,40,32,30,1,40,131
Ruddy Duck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rufous Hummingbird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,3,3,0,1,0,1,0,1,1,0,2
Rufous-crowned Sparrow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sage Thrasher,2,2,13,29,66,24,38,56,85,86,84,108,105,87,96,118,115,98,121,122,173,202,230,304,357,396,376,556,548,658,562,508,446,253,368,354,418,432,393,428,450,245,440,371,169,216,271,387
Sagebrush Sparrow,0,0,0,0,0,0,3,26,5,0,12,0,0,0,10,0,0,21,0,0,0,6,9,0,53,83,88,120,112,112,100,84,67,23,53,54,69,58,33,44,110,31,29,57,27,43,64,69
Sandhill Crane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,8,8,14,14,17,16,14,13,18,24,34,24,14,10,24,19,25,25,7
Sandhill Crane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Savannah Sparrow,5,15,22,7,8,20,7,19,10,20,7,57,47,19,109,165,135,122,113,100,168,68,46,66,131,94,119,118,200,162,195,199,257,186,197,183,178,202,228,282,184,227,262,233,214,170,219,283
Say's Phoebe,9,18,16,26,36,29,35,33,36,37,38,34,21,44,38,30,25,21,36,29,49,32,57,52,79,98,125,121,154,123,141,126,131,118,140,227,148,141,157,191,187,173,148,128,119,141,175,200
Scaled Quail,5,0,5,4,3,3,0,6,0,17,16,5,11,19,2,14,10,2,17,10,9,35,46,4,62,54,48,76,134,66,25,49,16,42,51,39,61,110,118,85,72,64,41,52,12,19,31,41
Scott's Oriole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,1,0,0,0,0,0,1,0,2
Sharp-shinned Hawk,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,4,1,4,3,6,3,6,5,8,4,7,6,3,5,4,6,4,1,5,2,0,2,6,0
Sharp-shinned Hawk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sharp-tailed Grouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Short-eared Owl,0,0,1,0,1,0,2,0,0,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,1,3,0,0,0,0,1,0,2,2,3,0,0,11,7,0,1,3,1,1,0,0,1,2
Snow Goose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Snowy Egret,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,3,0,6,2,9,0,8,1,3,1,27,0,8,4,1,6,0,18,5,2,8,3,0,3,2
Snowy Plover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
Solitary Sandpiper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Song Sparrow,11,25,92,57,87,80,33,58,92,49,33,31,72,47,47,53,54,52,122,144,147,129,123,151,193,238,259,282,326,369,427,350,383,331,329,303,284,289,341,327,310,255,320,292,305,233,297,303
Sora,0,0,0,0,0,2,1,0,1,4,0,1,0,1,1,6,0,0,0,3,38,20,2,8,4,2,8,5,3,1,7,10,17,10,8,1,10,12,8,7,5,15,32,9,2,8,11,20
Spotted Sandpiper,2,5,6,5,2,10,3,2,5,7,0,4,17,9,6,13,7,3,11,8,21,14,24,12,28,21,25,43,37,44,51,44,66,47,61,47,33,43,47,52,44,44,31,42,46,57,41,50
Spotted Towhee,2,5,0,6,14,38,50,61,84,110,85,63,61,59,108,75,80,80,107,118,114,75,124,88,193,234,358,439,547,480,691,805,806,599,541,593,375,434,517,646,562,476,537,475,359,555,586,795
Steller's Jay,17,25,26,23,29,24,16,22,17,15,11,10,8,9,14,8,7,7,13,14,49,35,33,40,131,149,102,157,154,180,211,282,220,240,193,155,171,162,189,170,156,122,101,138,130,126,101,133
Stilt Sandpiper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
Swainson's Hawk,8,14,17,24,23,38,46,38,27,25,34,33,62,32,79,36,55,35,52,26,72,75,88,96,123,177,163,140,101,154,161,156,126,118,101,162,128,142,175,265,243,220,266,253,206,180,212,192
Swainson's Thrush,0,0,1,0,0,1,5,10,0,1,1,3,2,1,4,17,3,7,15,17,9,9,11,9,33,34,41,27,39,42,29,35,63,39,52,43,56,33,34,42,30,19,29,41,30,26,21,30
Townsend's Solitaire,2,1,5,6,6,0,1,4,5,5,4,1,3,6,3,1,4,7,10,2,15,11,3,9,43,30,33,54,46,33,73,56,58,47,56,43,63,59,60,46,48,36,42,65,65,99,76,51
Tree Swallow,11,21,28,128,17,22,39,23,29,22,36,61,54,55,83,48,80,121,157,113,294,292,160,146,195,306,310,208,395,360,385,585,615,454,494,445,450,517,529,497,487,511,396,435,263,315,366,319
Turkey Vulture,0,2,1,7,7,16,3,4,6,4,7,8,2,3,3,9,4,7,7,22,5,12,21,14,27,25,40,39,69,44,55,39,66,62,35,108,34,71,104,103,94,50,64,61,67,72,100,40
unid. Accipiter Hawk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unid. Black-capped Chickadee / Mountain Chickadee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,2,8,9,1,1,3,1,2,0,0
unid. Bullock's Oriole / Baltimore Oriole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
unid. Buteo Hawk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,1,2,8,2,4,12,2,8,8,4,7,3,3,1,7,8,11,11,5,3
unid. Cassin's Kingbird / Western Kingbird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
unid. Chihuahuan Raven / Common Raven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,6,5,4,10,2,1,4,8,44,0,0,35,0,48,29,61,37
unid. Empidonax Flycatcher,0,1,2,4,26,5,7,12,7,5,6,7,10,2,3,1,2,0,2,2,0,0,2,4,1,11,3,11,7,7,20,12,5,13,7,19,19,13,1,4,6,6,5,8,7,7,11,9
unid. Gull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,14,0,0,0,0,0,33,0,0,7,0,0,1,8,4,2,1,8,0,0,7,0,20,0,1,0
unid. Hammond's Flycatcher / Dusky Flycatcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,0,0,0,1
unid. Hummingbird,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
unid. Lesser Nighthawk / Common Nighthawk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
unid. Sapsucker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,2,1,1,0,0,0
unid. Spotted Towhee / Eastern Towhee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
unid. Western Grebe / Clark's Grebe,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unid. Woodpecker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,3,4,2,1,0,0,1,4,1,4,2
Upland Sandpiper,3,0,0,2,5,1,17,51,4,46,27,6,5,4,12,6,20,3,7,6,19,7,7,6,8,7,5,3,6,1,8,6,2,0,7,6,15,5,6,4,7,1,16,1,5,6,0,9
Veery,4,5,7,8,9,8,7,2,4,0,12,4,0,2,7,4,8,2,4,0,9,8,0,3,12,5,5,9,6,4,8,13,6,11,9,3,4,14,11,10,12,3,2,1,5,12,5,9
Vermilion Flycatcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Vesper Sparrow,2,10,4,10,14,37,132,109,104,115,60,121,138,152,221,166,172,146,210,234,367,332,449,387,515,433,426,644,937,977,1158,954,1015,739,727,664,717,824,853,881,784,725,901,780,598,713,721,956
Vesper Sparrow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,1,10,0,0,2,1,0,0
Violet-green Swallow,71,37,55,80,92,121,82,173,138,164,130,108,115,109,211,177,121,141,105,87,388,737,184,1109,547,643,541,1019,693,1246,939,980,699,757,847,1538,981,1249,948,1038,979,1071,836,880,802,806,847,781
Virginia Rail,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,3,3,0,0,1,0,1,1,1,2,1,0,0,1,5
Virginia's Warbler,0,5,0,7,0,8,11,23,11,12,9,12,25,7,22,10,9,9,27,29,33,23,51,28,75,79,120,73,106,79,204,180,164,169,144,125,136,133,129,134,139,173,125,181,111,140,129,159
Warbling Vireo,10,30,44,35,64,66,93,96,101,92,94,119,71,98,99,93,97,100,155,123,307,208,286,346,697,617,835,745,908,958,1198,1403,1078,1165,1165,1067,1004,1048,935,982,1210,1018,994,890,896,926,998,906
Western Bluebird,0,6,2,1,4,3,23,3,16,7,16,4,7,2,2,1,1,0,0,9,5,5,9,13,56,45,10,23,17,9,79,31,67,64,54,95,71,73,100,96,94,94,59,108,60,77,125,117
Western Grebe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,7,1,5,4,7,13,4,13,2,7,27,5,9,0,11,21,1,14,5,2,8,10,17,52
Western Kingbird,75,82,105,109,135,216,174,224,151,174,170,225,210,312,316,306,285,214,301,282,385,554,504,504,953,962,938,908,835,849,919,1162,1165,1177,1303,1668,1477,1189,1599,1551,1398,1486,1224,1399,1051,1329,1201,1134
Western Kingbird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Western Meadowlark,738,1162,1189,1353,1433,3288,3284,3050,1514,2303,2287,2426,2216,3041,3455,2681,2492,2269,2858,2477,3723,4012,3883,4223,8005,6684,7414,7534,8767,8267,7787,8816,7695,7426,6995,8682,6411,7972,7707,7779,8400,9064,8193,7224,6348,5354,5313,6427
Western Screech-Owl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Scrub-Jay,1,8,4,8,24,5,12,11,5,16,16,9,6,8,14,5,5,2,5,20,12,16,26,10,22,37,50,55,88,42,115,124,154,120,131,77,52,62,136,116,61,50,61,43,54,89,84,116
Western Tanager,8,36,30,21,21,31,26,27,23,37,28,19,16,12,18,9,6,13,46,48,91,54,67,163,120,160,166,166,265,309,346,451,355,449,345,435,374,383,364,354,426,330,262,280,274,323,350,337
Western Tanager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Western Wood-Pewee,48,42,55,64,49,69,57,62,40,64,49,44,45,49,47,52,38,52,68,78,223,117,135,277,295,315,384,354,396,493,628,657,581,592,526,739,522,529,472,671,627,481,437,476,567,573,700,634
White-breasted Nuthatch,0,0,1,1,9,2,8,7,5,14,7,8,10,10,6,4,2,0,0,10,11,6,8,7,31,41,36,32,59,32,76,106,93,80,79,70,91,69,119,135,92,90,79,59,86,69,89,116
White-crowned Sparrow,3,7,12,2,0,9,4,18,3,6,3,5,3,2,6,2,6,2,16,13,204,91,118,120,392,148,444,268,559,448,560,509,434,460,459,473,482,486,577,457,457,518,414,449,391,387,498,431
White-crowned Sparrow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,0,0,0,0,0,0
White-faced Ibis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
White-faced Ibis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,98,0,30,12,197,55,27,33,21,3,34,33,150,14,28,77,75,99,107,103,50,58,0,39,11,52,11
White-rumped Sandpiper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
White-tailed Ptarmigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,3,0,2,1,0
White-throated Swift,0,0,1,0,5,5,13,5,0,5,1,25,11,9,16,7,6,6,8,19,68,21,16,51,101,97,70,42,109,81,103,165,98,127,134,84,91,56,109,49,84,197,128,89,61,88,112,144
White-winged Crossbill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,2,2,0,2,0
White-winged Dove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0
Wild Turkey,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,3,14,5,6,1,7,10,21,23,46,8,20,20,72,29,21,24,7,32,15,37,48,48
Willet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0
Willet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Williamson's Sapsucker,0,1,0,1,2,1,2,6,5,13,8,0,2,2,2,0,0,1,1,4,10,12,1,3,12,12,11,15,10,3,9,20,15,11,19,20,26,11,17,22,16,20,12,21,21,19,28,32
Willow Flycatcher,1,6,6,3,8,7,9,6,7,2,3,4,10,12,21,13,15,18,12,33,26,16,23,21,24,19,22,16,21,24,51,33,38,33,45,31,34,45,34,38,31,31,29,19,27,32,24,18
Wilson's Phalarope,4,0,6,0,0,4,8,3,11,5,0,6,12,1,4,1,0,2,11,21,91,79,0,9,4,15,24,32,51,29,35,76,57,83,59,32,40,18,28,28,80,28,14,72,14,13,74,32
Wilson's Snipe,1,7,22,23,20,18,50,25,52,31,29,39,41,35,50,34,62,67,119,123,211,158,75,181,254,196,211,239,262,237,297,326,325,300,257,223,200,230,190,264,213,188,211,180,154,115,111,185
Wilson's Warbler,13,13,10,11,11,11,10,20,16,11,16,14,16,12,8,4,5,1,19,5,32,34,67,104,161,83,189,96,138,139,177,177,134,134,131,121,154,146,163,114,141,166,195,164,135,152,192,132
Wilson's Warbler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Wood Duck,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,2,4,0,0,0,0,0,3,0,2,0,0
Yellow Warbler,42,48,68,64,96,75,63,94,100,53,146,133,153,90,158,176,207,173,313,160,330,293,198,254,433,436,430,445,533,469,647,665,633,665,600,570,513,548,514,581,566,608,565,515,467,520,539,545
Yellow-billed Cuckoo,0,0,0,0,0,1,0,0,0,0,0,0,1,5,1,1,0,7,0,0,2,0,2,0,0,0,1,1,4,2,4,4,2,5,0,0,0,0,0,0,0,0,0,0,5,2,0,0
Yellow-breasted Chat,8,9,0,10,9,16,29,8,13,26,17,17,14,17,15,26,14,23,13,22,22,18,16,16,27,16,38,17,27,26,23,35,30,54,36,30,32,29,35,31,41,39,29,33,51,53,41,58
Yellow-headed Blackbird,3,0,3,1,17,16,17,8,3,11,4,8,28,7,17,0,7,34,3,17,194,173,26,103,194,168,355,270,167,247,349,169,316,212,207,153,156,121,154,268,183,171,273,202,165,127,131,137
Total Species,111,123,121,133,141,154,163,163,152,153,144,150,162,158,157,163,157,154,161,160,180,187,189,188,197,199,198,200,204,211,220,219,233,223,225,226,227,227,233,231,225,225,230,228,220,222,228,226
Total individuals,5507,7932,8073,9591,11100,17387,18810,18809,12732,16036,15911,16879,16877,18813,22745,19133,17951,15849,19491,17828,33332,31156,28751,35997,58243,56349,62842,62384,63057,71605,69576,77290,69944,66996,61853,74895,65615,70442,73528,75290,68644,69214,67015,63338,56312,56062,60241,67319
